X,Y,SITENUMBER,RIVER,SITENAME,SITE,TIM_CHCH,TELEMETERED,COMPLIANCE_MONITORING,FLOOD_CONTROL,LAST_SAMPLE,LAST_HOUR,RAIN_TODAY,RAIN_1_DAY_AGO,RAIN_2_DAYS_AGO,RAIN_3_DAYS_AGO,RAIN_4_DAYS_AGO,RAIN_5_DAYS_AGO,RAIN_6_DAYS_AGO,RAIN_7_DAYS_AGO,TOTAL_RAINFALL,ALTITUDE,NZMGX,NZMGY,NZMS260,NZTMX,NZTMY,NZTOPO50,OBJECTID
1436531.4498,5238477.0863,209910,HOKITIKA,COLLIERS CK,HOKITIKA AT COLLIERS CK,,N,,N,,,,,,,,,,,,95,2346499,5800099,J33:46499-00099,1436531,5238477,BV18:3653-3847,3416383
1436325.9238,5265194.4123,217001,KANIERE,KANIERE,KANIERE AT KANIERE,,N,,N,,,,,,,,,,,,8,2346289,5826819,J33:46289-26819,1436325,5265194,BU18:3632-6519,3416384
1443194.4132,5261683.6113,217010,LK KANIERE ROAD,LK KANIERE ROAD,LK KANIERE ROAD AT LK KANIERE ROAD,,N,,N,,,,,,,,,,,,122,2353159,5823309,J33:53159-23309,1443194,5261683,BV18:4319-6168,3416385
1470454.3613,5265920.6064,217401,TAIPO,TAIPO,TAIPO AT TAIPO,,N,,N,,,,,,,,,,,,122,2380423,5827551,K33:80423-27551,1470454,5265920,BU20:7045-6592,3416386
1475918.7629,5262348.4874,217410,SEVEN M TAIPO RIVER,SEVEN M TAIPO RIVER,SEVEN M TAIPO RIVER AT SEVEN M TAIPO RIVER,,N,,N,,,,,,,,,,,,213,2385889,5823979,K33:85889-23979,1475918,5262348,BU20:7591-6234,3416387
1469330.4557,5265168.9257,217411,TAIPO,TAIPO SHB,TAIPO AT TAIPO SHB,,N,,N,,,,,,,,,,,,105,2379299,5826799,K33:79299-26799,1469330,5265168,BU20:6933-6516,3416388
1495034.94,5264445.4216,217710,TAVERNESS HUT,TAVERNESS HUT,TAVERNESS HUT AT TAVERNESS HUT,,N,,N,,,,,,,,,,,,366,2405009,5826079,K33:05009-26079,1495034,5264445,BU21:9503-6444,3416389
1497708.5512,5266376.6321,217711,KIWI HUT,KIWI HUT,KIWI HUT AT KIWI HUT,,N,,N,,,,,,,,,,,,351,2407683,5828011,K33:07683-28011,1497708,5266376,BU21:9770-6637,3416390
1507021.1787,5266023.5524,217810,WAIMAKARIRI,MOUNT BYRNE,WAIMAKARIRI AT MOUNT BYRNE,C,T,O,N,2021/09/24 02:00:00+00,0,4.5,4,1.5,102,5.5,15,2,0,134.5,1418,2416998,5827659,L33:16998-27659,1507021,5266023,BU21:0702-6602,3416391
1439362.9739,5250485.5701,218001,KOWHITIRANGI NO 2,KOWHITIRANGI NO 2,KOWHITIRANGI NO 2 AT KOWHITIRANGI NO 2,,N,,N,,,,,,,,,,,,30,2349329,5812109,J33:49329-12109,1439362,5250485,BV18:3936-5048,3416392
1439233.9177,5256034.9829,218002,KOKATAHI,KOKATAHI,KOKATAHI AT KOKATAHI,,N,,N,,,,,,,,,,,,24,2349199,5817659,J33:49199-17659,1439233,5256034,BV18:3923-5603,3416393
1444802.6527,5252391.5157,218101,UPPER KOKATAHI,UPPER KOKATAHI,UPPER KOKATAHI AT UPPER KOKATAHI,,N,,N,,,,,,,,,,,,,2354769,5814016,J33:54769-14016,1444802,5252391,BV19:4480-5239,3416394
1447333.5366,5259883.1637,218102,LAKE KANIERE,LAKE KANIERE,LAKE KANIERE AT LAKE KANIERE,,N,,N,,,,,,,,,,,,133,2357299,5821509,J33:57299-21509,1447333,5259883,BV19:4733-5988,3416395
1444733.9865,5260373.5254,218117,BUTCHERS CK,BUTCHERS GULLY,BUTCHERS CK AT BUTCHERS GULLY,,N,,N,,,,,,,,,,,,140,2354699,5821999,J33:54699-21999,1444733,5260373,BV19:4473-6037,3416396
1454533.1984,5264771.2504,218210,KAWHAKA CK,KAWHAKA CK,KAWHAKA CK AT KAWHAKA CK,,N,,N,,,,,,,,,,,,200,2364499,5826399,J33:64499-26399,1454533,5264771,BU19:5453-6477,3416397
1466609.1429,5252841.4725,218310,MUD FLATS HUT,MUD FLATS HUT,MUD FLATS HUT AT MUD FLATS HUT,,N,,N,,,,,,,,,,,,457,2376579,5814469,K33:76579-14469,1466609,5252841,BV19:6660-5284,3416398
1466469.2794,5260289.236,218311,GRIFFEN CREEK,GRIFFEN CREEK,GRIFFEN CREEK AT GRIFFEN CREEK,,N,,N,,,,,,,,,,,,1219,2376438,5821918,K33:76438-21918,1466469,5260289,BV19:6646-6028,3416399
1467848.4519,5256650.6765,218312,NEWTON CREEK,NEWTON CREEK,NEWTON CREEK AT NEWTON CREEK,,N,,N,,,,,,,,,,,,762,2377818,5818279,K33:77818-18279,1467848,5256650,BV19:6784-5665,3416400
1461176.8949,5250964.4461,218313,GRASSY FLAT,GRASSY FLAT,GRASSY FLAT AT GRASSY FLAT,,N,,N,,,,,,,,,,,,610,2371146,5812591,K33:71146-12591,1461176,5250964,BV19:6117-5096,3416401
1472005.1524,5252951.7693,218410,MID TAIPO,MID TAIPO,MID TAIPO AT MID TAIPO,,N,,N,,,,,,,,,,,,762,2381976,5814580,K33:81976-14580,1472005,5252951,BV20:7200-5295,3416402
1482886.6114,5256918.6091,218501,OTIRA SUBSTATION,OTIRA SUBSTATION,OTIRA SUBSTATION AT OTIRA SUBSTATION,,N,,N,,,,,,,,,,,,383,2392859,5818549,K33:92859-18549,1482886,5256918,BV20:8288-5691,3416403
1475328.4911,5259669.0931,218510,TAIPO,DUNN'S FLAT,TAIPO AT DUNN'S FLAT,,N,,N,,,,,,,,,,,,270,2385299,5821299,K33:85299-21299,1475328,5259669,BV20:7532-5966,3416404
1492394.3656,5255187.813,218610,OTEHAKE RIVER,OTEHAKE RIVER,OTEHAKE RIVER AT OTEHAKE RIVER,,N,,N,,,,,,,,,,,,610,2402369,5816819,K33:02369-16819,1492394,5255187,BV21:9239-5518,3416405
1499289.5691,5253404.4567,218701,POULTER,POULTER,POULTER AT POULTER,C,N,,N,,,,,,,,,,,,732,2409266,5815036,K33:09266-15036,1499289,5253404,BV21:9928-5340,3416406
1506390.8202,5253153.7859,218810,WAIMAKARIRI,RANGER STREAM,WAIMAKARIRI AT RANGER STREAM,C,T,O,N,2021/09/24 00:00:00+00,0,0,1,0,49.5,0.5,3,0,0,54,625,2416369,5814786,L33:16369-14786,1506390,5253153,BV21:0639-5315,3416407
1442234.0882,5246777.5275,219001,KOWHITIRANGI,KOWHITIRANGI,KOWHITIRANGI AT KOWHITIRANGI,,N,,N,,,,,,,,,,,,,2352201,5808401,J33:52201-08401,1442234,5246777,BV18:4223-4677,3416408
1436939.5301,5239319.963,219002,HOKITIKA GORGE,HOKITIKA GORGE,HOKITIKA GORGE AT HOKITIKA GORGE,,N,,N,,,,,,,,,,,,82,2346907,5800942,J33:46907-00942,1436939,5239319,BV18:3693-3931,3416409
1451662.1914,5248876.9715,219101,UPPER KOKATAHI,UPPER KOKATAHI,UPPER KOKATAHI AT UPPER KOKATAHI,,N,,N,,,,,,,,,,,,,2361630,5810502,J33:61630-10502,1451662,5248876,BV19:5166-4887,3416410
1449131.5069,5241377.195,219102,CEDAR FLAT,CEDAR FLAT,CEDAR FLAT AT CEDAR FLAT,,N,,N,,,,,,,,,,,,457,2359100,5803001,J33:59100-03001,1449131,5241377,BV19:4913-4137,3416411
1447700.9353,5243225.1667,219110,TOAROHA VALLEY,TOAROHA VALLEY,TOAROHA VALLEY AT TOAROHA VALLEY,,N,,N,,,,,,,,,,,,427,2357669,5804849,J33:57669-04849,1447700,5243225,BV19:4770-4322,3416412
1450631.5534,5250373.9196,219210,STYX,STYX VALLEY,STYX AT STYX VALLEY,,N,,N,,,,,,,,,,,,100,2360599,5811999,J33:60599-11999,1450631,5250373,BV19:5063-5037,3416413
1461129.4928,5247972.8981,219211,STYX,MT BROWNING,STYX AT MT BROWNING,,N,,N,,,,,,,,,,,,1160,2371099,5809599,K33:71099-09599,1461129,5247972,BV19:6112-4797,3416414
1483104.9744,5243921.1312,219501,ARTHURS PASS,DEPARTMENT OF CONSERVATION,ARTHURS PASS AT DEPARTMENT OF CONSERVATION,,N,,N,,,,,,,,,,,,738,2393079,5805549,K33:93079-05549,1483104,5243921,BV20:8310-4392,3416415
1483075.1926,5245810.7725,219502,ARTHURS PASS STORE,ARTHURS PASS STORE,ARTHURS PASS STORE AT ARTHURS PASS STORE,,N,,N,,,,,,,,,,,,748,2393049,5807439,K33:93049-07439,1483075,5245810,BV20:8307-4581,3416416
1480334.4939,5243881.4239,219503,AVALANCHE PEAK,AVALANCHE PEAK,AVALANCHE PEAK AT AVALANCHE PEAK,,N,,N,,,,,,,,,,,,1554,2390308,5805509,K33:90308-05509,1480334,5243881,BV20:8033-4388,3416417
1483005.6399,5249480.0702,219505,TEMPLE BASIN SKIFIELD,TEMPLE BASIN SKIFIELD,TEMPLE BASIN SKIFIELD AT TEMPLE BASIN SKIFIELD,,N,,N,,,,,,,,,,,,1370,2392979,5811109,K33:92979-11109,1483005,5249480,BV20:8300-4948,3416418
1482759.1239,5244668.0243,219510,WAIMAKARIRI,ARTHURS PASS,WAIMAKARIRI AT ARTHURS PASS,C,T,O,N,2021/09/24 04:00:00+00,0,0,0.5,0,80.5,1.5,23,2.5,0,108,750,2392733,5806296,K33:92733-06296,1482759,5244668,BV20:8275-4466,3416419
1481025.4766,5244871.1677,219511,WAIMAKARIRI,AVALANCHE PEAK,WAIMAKARIRI AT AVALANCHE PEAK,,N,,N,,,,,,,,,,,,1510,2390999,5806499,K33:90999-06499,1481025,5244871,BV20:8102-4487,3416420
1481025.4766,5244871.1677,219530,WAIMAKARIRI,AVALANCHE PEAK,WAIMAKARIRI AT AVALANCHE PEAK,C,N,O,N,,,,,,,,,,,,1510,2390999,5806499,K33:90999-06499,1481025,5244871,BV20:8102-4487,3416421
1515945.9898,5249805.7366,219910,WAIMAKARIRI,WAIMAKARIRI AT BULL CK,WAIMAKARIRI AT WAIMAKARIRI AT BULL CK,C,T,O,N,2021/09/24 04:00:00+00,0,0,1,0,43.5,0.5,3,0,1,49,745,2425927,5811438,L33:25927-11438,1515945,5249805,BV21:1594-4980,3416422
1544827.8965,5342758.8977,220301,GLENROY,GLENROY,GLENROY AT GLENROY,,N,,N,,,,,,,,,,,,457,2454805,5904423,M30:54805-04423,1544827,5342758,BS23:4482-4275,3416423
